1720489117 1184,495 278.0
1720489117 1184,495 227.0
1720489117 1185,492 108.5
1720489117 1709,1056 159.0
1720489118 1181,496 184.0
1720489118 1178,498 388.0
1720489118 1178,497 225.0
1720489118 1175,501 395.0
1720489118 1177,498 102.5
1720489118 1176,500 221.0
1720489118 1178,499 164.5
1720489118 207,28 90.0
1720489118 1178,504 204.0
1720489118 1175,1075 41.5
1720489118 1175,504 365.0
1720489118 203,65 229.0
1720489118 1173,504 154.5
1720489118 226,3 54.5
1720489118 1174,503 174.5
1720489119 1449,1038 351.5
1720489119 1174,502 220.5
1720489119 1172,504 217.5
1720489119 1176,503 184.5
1720489119 1171,503 238.0
1720489119 198,85 250.0
1720489119 1167,506 327.5
1720489119 1169,515 62.0
1720489119 1161,513 242.0
1720489119 1162,509 186.0
1720489119 1160,508 569.5
1720489119 1161,509 430.5
1720489119 1161,507 427.0
1720489119 72,70 401.5
1720489119 1160,506 291.0
1720489120 1160,507 535.5
1720489120 1155,507 389.0
1720489120 1150,507 346.0
1720489120 1148,506 458.5
1720489120 1141,504 611.0
1720489120 1134,505 583.0
1720489120 1129,505 615.0
1720489120 1127,505 578.0
1720489120 1120,504 479.0
1720489120 1119,509 429.5
1720489120 1115,505 562.5
1720489120 1111,507 724.5
1720489120 1107,509 685.5
1720489120 203,56 707.5
1720489120 1100,512 799.5
1720489121 1098,513 597.0
1720489121 1101,514 666.0
1720489121 1103,514 753.0
1720489121 1104,511 728.0
1720489121 1103,513 813.5
1720489121 1105,513 900.0
1720489121 1102,512 795.5
1720489121 1103,513 574.0
1720489121 1105,510 923.0
1720489121 1105,513 756.5
1720489121 1107,509 699.5
1720489121 1104,513 484.0
1720489121 1105,512 598.0
1720489121 1105,511 833.0
1720489121 1106,510 782.5
1720489122 1106,512 913.0
1720489122 1108,512 662.5
1720489122 1108,513 748.5
1720489122 1108,513 847.0
1720489122 1107,511 683.5
1720489122 1108,509 722.0
1720489122 1106,512 709.0
1720489122 1107,512 861.0
1720489122 1106,513 821.0
1720489122 1105,513 888.5
1720489122 1106,514 788.0
1720489122 1106,516 761.0
1720489122 1106,513 636.5
1720489122 1106,514 768.5
1720489122 1104,516 702.0
1720489123 1105,515 691.0
1720489123 1104,517 732.5
1720489123 1107,517 731.5
1720489123 1104,516 728.0
1720489123 1105,518 699.5
1720489123 1104,516 721.0
1720489123 1103,518 516.0
1720489123 1104,520 752.0
1720489123 1103,519 576.0
1720489123 1103,520 598.0
1720489123 1105,518 682.0
1720489123 1104,522 947.5
1720489123 1103,520 700.5
1720489123 1103,521 705.0
1720489124 1104,523 738.5
1720489124 1104,523 781.0
1720489124 1102,520 673.0
1720489124 1105,521 795.5
1720489124 1104,522 656.5
1720489124 1101,519 571.5
1720489124 1101,521 505.5
1720489124 1103,520 561.5
1720489124 1104,519 595.5
1720489124 1104,521 807.5
1720489124 1103,521 710.5
1720489124 1103,520 560.0
1720489124 1102,521 657.5
1720489124 1105,520 835.0
1720489124 1101,518 716.5
1720489125 1101,518 673.0
1720489125 1103,521 676.5
1720489125 1102,521 454.0
1720489125 1103,520 521.5
1720489125 1103,522 755.0
1720489125 1103,522 603.0
1720489125 1103,520 443.5
1720489125 1104,521 551.0
1720489125 1104,523 661.5
1720489125 1102,522 782.0
1720489125 1103,522 748.5
1720489125 1104,524 594.0
1720489125 1102,518 838.5
1720489125 1100,523 823.0
1720489126 1102,524 676.5
1720489126 1102,523 708.5
1720489126 1104,525 880.5
1720489126 1102,525 629.0
1720489126 1102,526 568.0
1720489126 1104,524 628.0
1720489126 1102,524 707.0
1720489126 1101,526 703.0
1720489126 1101,525 711.5
1720489126 1101,523 779.5
1720489126 1100,526 614.5
1720489126 1100,523 833.0
1720489126 1098,525 638.5
1720489126 1102,526 687.0
1720489126 1101,526 407.0
1720489127 1102,523 775.5
1720489127 1103,525 648.0
1720489127 1101,525 598.0
1720489127 1100,525 624.0
1720489127 1103,524 787.0
1720489127 1102,526 816.0
1720489127 1102,527 901.0
1720489127 1101,525 812.0
1720489127 1102,522 662.0
1720489127 1104,522 605.0
1720489127 1103,525 787.0
1720489127 1104,524 702.0
1720489127 204,31 900.0
1720489127 1098,520 680.0
1720489127 1102,525 698.5
1720489128 1104,524 627.0
1720489128 1101,523 485.5
1720489128 1104,525 703.0
1720489128 1105,523 580.5
1720489128 1102,525 876.0
1720489128 1102,522 641.0
1720489128 1105,523 764.5
1720489128 1106,521 599.5
1720489128 1105,522 721.5
1720489128 1103,523 742.0
1720489128 1101,521 586.5
1720489128 1099,520 741.0
1720489128 264,148 1495.0
1720489128 1097,525 720.0
1720489129 1094,521 754.0
1720489129 1092,521 701.5
1720489129 1093,526 887.0
1720489129 1096,529 808.5
1720489129 1096,535 794.0
1720489129 221,790 42.0
1720489129 253,660 323.5
1720489129 222,211 351.5
1720489129 129,1073 184.5
1720489129 1661,1076 87.0
1720489129 188,141 199.0
1720489129 98,1049 209.0
1720489129 136,1072 135.5
1720489129 208,80 488.0
1720489129 741,1068 103.5
1720489130 1308,1029 67.5
1720489130 428,359 55.0
1720489130 1633,1008 48.0
1720489130 201,258 16.5
1720489130 1133,1034 301.0
1720489130 217,7 109.5
1720489130 1114,1070 126.5
1720489130 1597,525 223.0
1720489130 185,120 284.5
1720489130 283,643 72.5
1720489130 184,298 204.0
1720489130 419,756 108.5
1720489130 19,64 890.0
1720489130 1908,874 568.0
1720489130 254,625 38.5
1720489131 261,659 431.0
1720489131 48,77 1789.5
1720489131 1050,1014 493.0
1720489131 965,1020 246.5
1720489131 65,80 1227.0
1720489131 192,99 104.0
1720489131 26,375 465.0
1720489131 69,181 72.0
1720489131 270,656 387.5
1720489131 210,455 266.0
1720489131 82,94 222.0
1720489131 66,174 327.0
1720489131 178,307 36.0
1720489131 1301,585 23.5
1720489131 74,143 100.5
1720489132 281,655 191.5
1720489132 35,73 807.0
1720489132 154,951 333.5
1720489132 20,60 880.0
1720489132 53,326 60.0
1720489132 70,182 509.5
1720489132 11,92 125.5
1720489132 269,663 116.5
1720489132 14,60 279.5
1720489132 278,648 133.5
1720489132 14,71 311.0
1720489132 47,70 1028.5
1720489132 264,202 658.0
1720489132 1524,783 137.0
1720489132 6,439 141.5
1720489133 61,72 276.0
1720489133 280,445 519.0
1720489133 1752,819 383.0
1720489133 50,76 2970.5
1720489133 75,80 409.0
1720489133 178,127 137.0
1720489133 201,437 7.5
1720489133 7,35 171.5
1720489133 75,125 166.0
1720489133 6,39 230.0
1720489133 190,192 249.5
1720489133 25,50 506.0
1720489133 334,331 166.0
1720489133 280,641 100.5
1720489133 5,376 158.0
